ID,Nama_Gorden,Deskripsi,Harga,Gaya,Warna,Bahan,Kategori_Harga,Image_Filename
118,GVTEX Blackout 90% A8012-06,Gorden semi-blackout yang ideal. Meredam panas matahari siang namun tidak membuat ruangan gelap gulita.,185K-235K,A8012-06,Flamingo,Blackout 90%,185K-235K,118.jpg
119,GVTEX Blackout 90% A8012-07,Gorden semi-blackout yang ideal. Meredam panas matahari siang namun tidak membuat ruangan gelap gulita.,185K-235K,A8012-07,Scuba,Blackout 90%,185K-235K,119.jpg
120,GVTEX Blackout 90% A8012-08,Gorden semi-blackout yang ideal. Meredam panas matahari siang namun tidak membuat ruangan gelap gulita.,185K-235K,A8012-08,Turquoise,Blackout 90%,185K-235K,120.jpg
121,PRO TEXTILE Blackout 95% GJMH,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,GJMH,3#,Blackout 95%,250K-335K,121.jpg
122,PRO TEXTILE Blackout 95% GJMH,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,GJMH,5#,Blackout 95%,250K-335K,122.jpg
123,PRO TEXTILE Blackout 95% GJMH,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,GJMH,7#,Blackout 95%,250K-335K,123.jpg
124,PRO TEXTILE Blackout 95% GJMH,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,GJMH,9#,Blackout 95%,250K-335K,124.jpg
125,PRO TEXTILE Blackout 95% GJMH,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,GJMH,11#,Blackout 95%,250K-335K,125.jpg
126,PRO TEXTILE Blackout 95% XGM,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,XGM,14#,Blackout 95%,250K-335K,126.jpg
127,PRO TEXTILE Blackout 95% XGM,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,XGM,15#,Blackout 95%,250K-335K,127.jpg
128,PRO TEXTILE Blackout 95% XGM,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,XGM,16#,Blackout 95%,250K-335K,128.jpg
129,PRO TEXTILE Blackout 95% XGM,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,XGM,17#,Blackout 95%,250K-335K,129.jpg
130,PRO TEXTILE Blackout 95% XGM,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,XGM,18#,Blackout 95%,250K-335K,130.jpg
131,GVTEX Blackout 95% Sere - 06,Warna gelap yang pekat. Sangat bagus untuk memblokir silau matahari sore. Menjaga suhu ruangan tetap dingin dan nyaman.,250K-335K,Sere - 06,Charcoal,Blackout 95%,250K-335K,131.jpg
132,GVTEX Blackout 95% Sere - 07,Warna gelap yang pekat. Sangat bagus untuk memblokir silau matahari sore. Menjaga suhu ruangan tetap dingin dan nyaman.,250K-335K,Sere - 07,Tornado,Blackout 95%,250K-335K,132.jpg
133,GVTEX Blackout 95% Sere - 08,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,Sere - 08,Walnut,Blackout 95%,250K-335K,133.jpg
134,GVTEX Blackout 95% Sere - 09,Warna biru yang menenangkan. Bahan blackout tebal ini cocok untuk kamar anak atau ruang belajar agar fokus dan tidak kepanasan.,250K-335K,Sere - 09,Niagara,Blackout 95%,250K-335K,134.jpg
135,GVTEX Blackout 95% Sere - 10,Warna gelap yang pekat. Sangat bagus untuk memblokir silau matahari sore. Menjaga suhu ruangan tetap dingin dan nyaman.,250K-335K,Sere - 10,Brownie,Blackout 95%,250K-335K,135.jpg
136,GVTEX Blackout 95% Sere - 11,Warna gelap yang pekat. Sangat bagus untuk memblokir silau matahari sore. Menjaga suhu ruangan tetap dingin dan nyaman.,250K-335K,Sere - 11,Coffee,Blackout 95%,250K-335K,136.jpg
137,GVTEX Blackout 95% Sere - 12,Warna gelap yang pekat. Sangat bagus untuk memblokir silau matahari sore. Menjaga suhu ruangan tetap dingin dan nyaman.,250K-335K,Sere - 12,Espresso,Blackout 95%,250K-335K,137.jpg
138,GVTEX Blackout 95% Sere - 13,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,Sere - 13,Champagne,Blackout 95%,250K-335K,138.jpg
139,GVTEX Blackout 95% Sere - 14,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,Sere - 14,Stucco,Blackout 95%,250K-335K,139.jpg
140,GVTEX Blackout 95% Sere - 15,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,Sere - 15,Reed,Blackout 95%,250K-335K,140.jpg
141,GVTEX Blackout 95% Chloe - 01,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,Chloe - 01,Silver,Blackout 95%,250K-335K,141.jpg
142,GVTEX Blackout 95% Chloe - 02,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,Chloe - 02,Steel,Blackout 95%,250K-335K,142.jpg
143,GVTEX Blackout 95% Chloe - 03,Warna gelap yang pekat. Sangat bagus untuk memblokir silau matahari sore. Menjaga suhu ruangan tetap dingin dan nyaman.,250K-335K,Chloe - 03,Carbon,Blackout 95%,250K-335K,143.jpg
144,GVTEX Blackout 95% Chloe - 04,Warna gelap yang pekat. Sangat bagus untuk memblokir silau matahari sore. Menjaga suhu ruangan tetap dingin dan nyaman.,250K-335K,Chloe - 04,Graphite,Blackout 95%,250K-335K,144.jpg
145,GVTEX Blackout 95% Chloe - 05,Warna gelap yang pekat. Sangat bagus untuk memblokir silau matahari sore. Menjaga suhu ruangan tetap dingin dan nyaman.,250K-335K,Chloe - 05,Onyx,Blackout 95%,250K-335K,145.jpg
146,PRO TEXTILE Blackout 95% JD-A,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,JD-A,20#,Blackout 95%,250K-335K,146.jpg
147,PRO TEXTILE Blackout 95% JD-A,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,JD-A,21#,Blackout 95%,250K-335K,147.jpg
148,PRO TEXTILE Blackout 95% JD-A,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,JD-A,23#,Blackout 95%,250K-335K,148.jpg
149,PRO TEXTILE Blackout 95% JD-A,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,JD-A,24#,Blackout 95%,250K-335K,149.jpg
150,PRO TEXTILE Blackout 95% JD-B,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,JD-B,11#,Blackout 95%,250K-335K,150.jpg
151,PRO TEXTILE Blackout 95% JD-B,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,JD-B,12#,Blackout 95%,250K-335K,151.jpg
152,PRO TEXTILE Blackout 95% JD-B,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,JD-B,13#,Blackout 95%,250K-335K,152.jpg
153,PRO TEXTILE Blackout 95% JD-C,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,JD-C,3#,Blackout 95%,250K-335K,153.jpg
154,PRO TEXTILE Blackout 95% JD-C,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,JD-C,4#,Blackout 95%,250K-335K,154.jpg
155,PRO TEXTILE Blackout 95% JD-C,Gorden tebal blackout 95%. Pilihan cerdas untuk kamar yang menghadap jalan raya agar tidak berisik dan lebih tenang.,250K-335K,JD-C,5#,Blackout 95%,250K-335K,155.jpg
156,PRO TEXTILE Blackout 100% THB 1-1,Gorden tebal penahan cahaya total. Menjaga privasi total dan kedap suara. Cocok untuk kamar utama atau ruang media.,235K-395K,THB 1-1,,Blackout 100%,235K-395K,156.jpg
157,PRO TEXTILE Blackout 100% THB 1-2,Gorden tebal penahan cahaya total. Menjaga privasi total dan kedap suara. Cocok untuk kamar utama atau ruang media.,235K-395K,THB 1-2,,Blackout 100%,235K-395K,157.jpg
158,PRO TEXTILE Blackout 100% THB 2-3,Gorden tebal penahan cahaya total. Menjaga privasi total dan kedap suara. Cocok untuk kamar utama atau ruang media.,235K-395K,THB 2-3,,Blackout 100%,235K-395K,158.jpg
159,PRO TEXTILE Blackout 100% THB 3-3,Gorden tebal penahan cahaya total. Menjaga privasi total dan kedap suara. Cocok untuk kamar utama atau ruang media.,235K-395K,THB 3-3,,Blackout 100%,235K-395K,159.jpg
160,PRO TEXTILE Blackout 100% THB 4-4,Gorden tebal penahan cahaya total. Menjaga privasi total dan kedap suara. Cocok untuk kamar utama atau ruang media.,235K-395K,THB 4-4,,Blackout 100%,235K-395K,160.jpg
161,PRO TEXTILE Blackout 100% THB 5-1,Gorden tebal penahan cahaya total. Menjaga privasi total dan kedap suara. Cocok untuk kamar utama atau ruang media.,235K-395K,THB 5-1,,Blackout 100%,235K-395K,161.jpg
162,PRO TEXTILE Blackout 100% THB 5-2,Gorden tebal penahan cahaya total. Menjaga privasi total dan kedap suara. Cocok untuk kamar utama atau ruang media.,235K-395K,THB 5-2,,Blackout 100%,235K-395K,162.jpg
163,PRO TEXTILE Blackout 100% THB 5-3,Gorden tebal penahan cahaya total. Menjaga privasi total dan kedap suara. Cocok untuk kamar utama atau ruang media.,235K-395K,THB 5-3,,Blackout 100%,235K-395K,163.jpg
164,PRO TEXTILE Blackout 100% THB 5-4,Gorden tebal penahan cahaya total. Menjaga privasi total dan kedap suara. Cocok untuk kamar utama atau ruang media.,235K-395K,THB 5-4,,Blackout 100%,235K-395K,164.jpg
165,PRO TEXTILE Blackout 100% THB 5-5,Gorden tebal penahan cahaya total. Menjaga privasi total dan kedap suara. Cocok untuk kamar utama atau ruang media.,235K-395K,THB 5-5,,Blackout 100%,235K-395K,165.jpg
166,ARCILLA Blackout 100% A-1,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,A-1,,Blackout 100%,235K-395K,166.jpg
167,ARCILLA Blackout 100% A-2,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,A-2,,Blackout 100%,235K-395K,167.jpg
168,ARCILLA Blackout 100% A-3,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,A-3,,Blackout 100%,235K-395K,168.jpg
169,ARCILLA Blackout 100% A-4,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,A-4,,Blackout 100%,235K-395K,169.jpg
170,ARCILLA Blackout 100% A-5,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,A-5,,Blackout 100%,235K-395K,170.jpg
171,ARCILLA Blackout 100% B-1,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,B-1,,Blackout 100%,235K-395K,171.jpg
172,ARCILLA Blackout 100% B-2,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,B-2,,Blackout 100%,235K-395K,172.jpg
173,ARCILLA Blackout 100% B-3,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,B-3,,Blackout 100%,235K-395K,173.jpg
174,ARCILLA Blackout 100% B-4,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,B-4,,Blackout 100%,235K-395K,174.jpg
175,ARCILLA Blackout 100% B-5,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,B-5,,Blackout 100%,235K-395K,175.jpg
176,ARCILLA Blackout 100% C-1,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,C-1,,Blackout 100%,235K-395K,176.jpg
177,ARCILLA Blackout 100% C-2,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,C-2,,Blackout 100%,235K-395K,177.jpg
178,ARCILLA Blackout 100% C-3,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,C-3,,Blackout 100%,235K-395K,178.jpg
179,ARCILLA Blackout 100% C-4,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,C-4,,Blackout 100%,235K-395K,179.jpg
180,ARCILLA Blackout 100% C-5,Gorden anti matahari total (Total Blackout). Solusi terbaik untuk jendela menghadap timur (matahari terbit) atau barat (matahari sore) yang sangat panas. Tidur jadi nyenyak.,235K-395K,C-5,,Blackout 100%,235K-395K,180.jpg
